NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NZ_JANA01000011.1 Fusobacterium sp. OBRC1 ctgN279L77728C40.5883, whole genome shotgun sequence
NZ_JANA01000012.1 Fusobacterium sp. OBRC1 ctgN321L2527C39.9466, whole genome shotgun sequence
NZ_JANA01000013.1 Fusobacterium sp. OBRC1 ctgN335L6340C39.7685, whole genome shotgun sequence
NZ_JANA01000014.1 Fusobacterium sp. OBRC1 ctgN369L11934C39.445, whole genome shotgun sequence
NZ_JANA01000015.1 Fusobacterium sp. OBRC1 ctgN357L847C31.947, whole genome shotgun sequence
NZ_JANA01000016.1 Fusobacterium sp. OBRC1 ctgN301L619C40.1649, whole genome shotgun sequence
NZ_JANA01000017.1 Fusobacterium sp. OBRC1 ctgN338L7439C37.7178, whole genome shotgun sequence
NZ_JANA01000018.1 Fusobacterium sp. OBRC1 ctgN344L16780C38.7569, whole genome shotgun sequence
NZ_JANA01000019.1 Fusobacterium sp. OBRC1 ctgN288L8455C40.1474, whole genome shotgun sequence
NZ_JANA01000020.1 Fusobacterium sp. OBRC1 ctgN272L11081C39.9965, whole genome shotgun sequence
NZ_JANA01000021.1 Fusobacterium sp. OBRC1 ctgN308L23561C39.6246, whole genome shotgun sequence
NZ_JANA01000022.1 Fusobacterium sp. OBRC1 ctgN312L63594C40.0075, whole genome shotgun sequence
NZ_JANA01000023.1 Fusobacterium sp. OBRC1 ctgN273L20302C40.0993, whole genome shotgun sequence
NZ_JANA01000024.1 Fusobacterium sp. OBRC1 ctgN362L1961C36.458, whole genome shotgun sequence
NZ_JANA01000025.1 Fusobacterium sp. OBRC1 ctgN326L1885C40.0836, whole genome shotgun sequence
NZ_JANA01000026.1 Fusobacterium sp. OBRC1 ctgN4L9969C36.1035, whole genome shotgun sequence
NZ_JANA01000027.1 Fusobacterium sp. OBRC1 ctgN361L22211C40.488, whole genome shotgun sequence
NZ_JANA01000028.1 Fusobacterium sp. OBRC1 ctgN348L21076C40.1371, whole genome shotgun sequence
NZ_JANA01000029.1 Fusobacterium sp. OBRC1 ctgN306L13524C40.0504, whole genome shotgun sequence
NZ_JANA01000030.1 Fusobacterium sp. OBRC1 ctgN328L1025C32.6814, whole genome shotgun sequence
NZ_JANA01000031.1 Fusobacterium sp. OBRC1 ctgN316L53971C40.2643, whole genome shotgun sequence
NZ_JANA01000032.1 Fusobacterium sp. OBRC1 ctgN347L7349C36.3909, whole genome shotgun sequence
NZ_JANA01000033.1 Fusobacterium sp. OBRC1 ctgN339L13673C39.4822, whole genome shotgun sequence
NZ_JANA01000034.1 Fusobacterium sp. OBRC1 ctgN318L42188C40.0883, whole genome shotgun sequence
NZ_JANA01000035.1 Fusobacterium sp. OBRC1 ctgN274L536C30.9501, whole genome shotgun sequence
NZ_JANA01000036.1 Fusobacterium sp. OBRC1 ctgN278L4052C33.7646, whole genome shotgun sequence
NZ_JANA01000037.1 Fusobacterium sp. OBRC1 ctgN366L7931C38.9286, whole genome shotgun sequence
NZ_JANA01000038.1 Fusobacterium sp. OBRC1 ctgN330L32218C41.0247, whole genome shotgun sequence
NZ_JANA01000039.1 Fusobacterium sp. OBRC1 ctgN341L51533C40.4183, whole genome shotgun sequence
NZ_JANA01000040.1 Fusobacterium sp. OBRC1 ctgN337L2576C28.7465, whole genome shotgun sequence
NZ_JANA01000041.1 Fusobacterium sp. OBRC1 ctgN356L11395C40.3187, whole genome shotgun sequence
NZ_JANA01000042.1 Fusobacterium sp. OBRC1 ctgN349L2827C35.5133, whole genome shotgun sequence
NZ_JANA01000043.1 Fusobacterium sp. OBRC1 ctgN323L92878C40.8085, whole genome shotgun sequence
NZ_JANA01000044.1 Fusobacterium sp. OBRC1 ctgN3L20788C40.5377, whole genome shotgun sequence
NZ_JANA01000045.1 Fusobacterium sp. OBRC1 ctgN360L1907C39.5983, whole genome shotgun sequence
NZ_JANA01000046.1 Fusobacterium sp. OBRC1 ctgN286L6300C39.7712, whole genome shotgun sequence
NZ_JANA01000047.1 Fusobacterium sp. OBRC1 ctgN345L20046C39.4347, whole genome shotgun sequence
NZ_JANA01000048.1 Fusobacterium sp. OBRC1 ctgN332L533C32.3054, whole genome shotgun sequence
NZ_JANA01000049.1 Fusobacterium sp. OBRC1 ctgN350L6170C39.6352, whole genome shotgun sequence
NZ_JANA01000050.1 Fusobacterium sp. OBRC1 ctgN353L42037C40.7414, whole genome shotgun sequence
NZ_JANA01000051.1 Fusobacterium sp. OBRC1 ctgN351L32498C40.3752, whole genome shotgun sequence
NZ_JANA01000052.1 Fusobacterium sp. OBRC1 ctgN130L20410C40.8033, whole genome shotgun sequence
NZ_JANA01000053.1 Fusobacterium sp. OBRC1 ctgN280L181103C40.6313, whole genome shotgun sequence
NZ_JANA01000054.1 Fusobacterium sp. OBRC1 ctgN0L33977C40.4372, whole genome shotgun sequence
NZ_JANA01000055.1 Fusobacterium sp. OBRC1 ctgN307L48087C41.0208, whole genome shotgun sequence
